label,message,user_id_encrypted
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",gAAAAABn9rtx6vFOpRBWWZg9ckgOyAodcPmiI6RkGQWJE1lcIV2RWchSWwmGox63WaodRoKifo7q_aFGlEc5Ar02jgNVCtD_aQ==
ham,Ok lar... Joking wif u oni...,gAAAAABn9rtxUJQGbVB9kBZMDC_8sHbRZXE95qOwc-DzTKVQUKUivuFrk8mGOeITueCUdb1NwcSmgzV5CxMG79ZutPKblrhh9g==
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,gAAAAABn9rtxyQ9htQqwr4ThioyUomdhu6EurU-80iIwal-Of6ymo5HtVCwnFVdlKUW_W11UVep7jZr0e8Q9POVq9ouIIsnKXQ==
ham,U dun say so early hor... U c already then say...,gAAAAABn9rtx0y9poBlsSvwp-joys6tJDB7WT8PAf0M6_YGoZYf1ESRcCd0D539qSUqQeO9hqmCT1wlSei6S1QwB6m_KA3WnEQ==
ham,"Nah I don't think he goes to usf, he lives around here though",gAAAAABn9rtxeKjfFKtUaBrhsrUKocchtNkxem-vEGYSIjV2Pduv5-QPw9Oamn6ie5FX1jDeNh0fjaw8PHNhkGZhGOps_Ka9kw==
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",gAAAAABn9rtx0ySx8LmfdJ1KlEtzzTSS3E4H4Ve5gUgkXgdmvbvdzxJv7GcQu0_JHSmxYF54xM-2GpKV8j2qDKlqTftH8Brt7A==
ham,Even my brother is not like to speak with me. They treat me like aids patent.,gAAAAABn9rtxq1HlFP1G7yOr-RQMoN-UYdvy9FIYFgGjpk0F4eQ5wyjIrLDsrA3xGVc3GVAa75qWfgykI4spVXSDWdA7dWEsmg==
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,gAAAAABn9rtxOtgR7UE2Uqm5Kp8E4jRXWgoQ_W6KRNH9MWo5nerMUBun8fVzRbXrln3jVL2P1LBj1sF9Nfv4kWRYWHgCxA2T3Q==
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,gAAAAABn9rtxbKLp8JnS2WOhj4sqcRx8MdOBfBhiETvFdeKyv_8JgJ24xp7GxSoHFGHNtLbQoOVGDnIgFAROwsJwxIhuYChNYg==
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,gAAAAABn9rtxWZ-Zj7JcsK-joC4BGHOqA0kZl2XX21azzPeTK4Qak84uOqzwKr236bHQD-HX0L-sxNMD901N_E9igr59llYXvQ==
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",gAAAAABn9rtxu2wHUJjJpfSuaOtnLEFcSk1qV9J7OYMz6oX1NsuB0O7r30lajxEX4pROtO8YDWu203zvqHKz2ZUoBTG1bX7gVA==
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",gAAAAABn9rtxNJ2WL3DrOe0-FZXC-LpckdBxPJ13rczm0_Yim7K56bjpBCh58JJEKoX3K7LxrGNroCXLPAlSGGjdrQYh4-0uTg==
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",gAAAAABn9rtxIg_oXZ8NetYpZ544gpMfDMKFSsq8HgZUI2LzQXGOHpmmn-ojq-gKg6lU1gRmj2zEtmqOyxOfDcsESXXhquWOlw==
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,gAAAAABn9rtxyjr4-2aK6kPBdhsoeX_pk0fDPZamYpHd7Qzd7gVxk2msX1BFkHM0SpmNLkQbI0R-a-0nkx3Y403EzaESBNNSmQ==
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,gAAAAABn9rtx9Ry4-rBkjPmO7I75VSFkudfMRAIZSLo0chYG4vUwGk9LKuBQBnnPVttu5uE9uGwWF7Ydb_a3lRB3pJ84nWOzLw==
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",gAAAAABn9rtxW9_dYlp9GsTaqfUMzBRX7uZCSSXVTiZOr_AT53h7oJVgITNSbovlFsv_4KR10kiyzd-FCROzSrhFn07d4GulJA==
ham,Oh k...i'm watching here:),gAAAAABn9rtx5uH9yFdEhtt5za0e3aSldRy-Cf09F2g90HkMtnG8st34BlIZxJSVOivxapFab4Q6ZiYNBGMLwKtIKnVFu7BCmQ==
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,gAAAAABn9rtxvciDyU6WfBgKFp_rW4KB1RWtr-gpI_RnQqgKxUZwc2dUjH2a9NTp2LNlYdn3PRD7ycQ5s72Pjdnn9Ak_Q5bDIg==
ham,Fine if thats the way u feel. Thats the way its gota b,gAAAAABn9rtxVekxEBGsHVnX2D7J7GBXreSQIOkqNNriVrGLwyae-cpkesoh-CVRFuBBn42Q2D78Iw50B112bBhFhIEcOaTuIw==
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",gAAAAABn9rtx0vysBcm_5vlcnb3iM4UXfcPn0yVnwhXKgBgxWWuLERSzZGgPkoKgnUY-OyiHVsrEUWCVBWdJnndZHjZlyl6f2A==
ham,Is that seriously how you spell his name?,gAAAAABn9rtxLAd1iX3rLopRdxcStnpXpny0eeBUYnauPgY9waRmBIf4jSwfcDUWQjb1uVBAq4N91d4ivpkcAssjkp3MfbWh2g==
ham,I‘m going to try for 2 months ha ha only joking,gAAAAABn9rtxW_tRH_RvJKkPRCYoV_MsGwtoUUeo-zrzpVukH1pzjwfnJbmmcPBvLCRGuRTn0ZBO_6zFnr8V0t-LWyFKUDL41A==
ham,So ü pay first lar... Then when is da stock comin...,gAAAAABn9rtx-THjzIB2ThgxreJyMH-duQOdhqkEg7ywdZAZSnvZhGchnGctPMtAzQDIjFT6CMcoduuvNknFn4Am0BxDpXDZzw==
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,gAAAAABn9rtxpwH8n3oXIvA0ub1abg8Z1wj00aQk6E6cAjR7c0Ie3XKzRz7MPJnJRcE7jqcCzVXkJIzUcBpYfu4r78fUXwGvVA==
ham,Ffffffffff. Alright no way I can meet up with you sooner?,gAAAAABn9rtxqRIcJD1aRGfbDVPxN3NXrBgbVpfj0calEx_VaGpLQBQonPTwsQUMIaC2ySw5X7wv_ARrVZ1LHUcdoLLngg4xFA==
